,ip,port,type
0,180.160.116.205,8118,HTTPS
1,183.159.91.238,18118,HTTPS
2,49.70.123.223,61234,HTTPS
3,183.159.88.33,18118,HTTP
4,183.159.94.55,18118,HTTPS
5,49.79.193.184,61234,HTTP
6,60.173.242.141,808,HTTP
7,61.135.217.7,80,HTTP
8,122.114.31.177,808,HTTP
9,110.166.254.126,808,HTTP
10,110.73.8.54,8123,HTTP
11,1.30.188.33,61234,HTTP
12,49.83.247.145,61234,HTTP
13,183.159.92.238,18118,HTTP
14,125.125.141.58,32686,HTTP
15,222.183.209.242,8123,HTTPS
16,223.245.229.127,61234,HTTPS
17,121.205.128.215,40114,HTTPS
18,183.159.80.237,18118,HTTPS
19,49.79.192.39,61234,HTTPS
20,14.29.47.90,3128,HTTPS
21,182.88.149.109,9797,HTTPS
22,122.72.18.35,80,HTTPS
23,123.56.75.209,3128,HTTPS
24,122.72.18.34,80,HTTPS
25,114.215.95.188,3128,HTTPS
26,118.212.137.135,31288,HTTPS
27,119.28.152.208,80,HTTPS
28,139.224.80.139,3128,HTTPS
29,120.26.110.59,8080,HTTP
30,119.127.18.67,9797,HTTPS
31,14.117.210.196,9797,HTTPS
32,171.37.179.181,9797,HTTPS
33,110.52.8.195,53281,HTTPS
34,124.237.83.14,53281,HTTPS
35,221.204.137.254,9797,HTTPS
36,1.119.193.36,8080,HTTP
37,101.81.141.175,9999,HTTP
38,119.109.19.229,53281,HTTPS
39,120.77.254.116,3128,HTTPS
40,114.218.138.5,61234,HTTPS
41,114.239.126.174,61234,HTTPS
42,183.159.90.255,18118,HTTPS
43,49.79.194.199,61234,HTTPS
44,183.128.33.61,18118,HTTPS
45,222.93.241.36,61234,HTTPS
46,110.52.8.195,53281,HTTPS
47,124.90.207.47,8118,HTTPS
48,49.79.196.98,61234,HTTPS
49,110.73.41.16,8123,HTTPS
50,183.157.170.20,8118,HTTPS
51,223.245.229.127,61234,HTTPS
52,223.241.119.97,8010,HTTPS
53,60.177.225.43,18118,HTTPS
54,183.159.91.141,18118,HTTPS
55,121.225.25.212,3128,HTTPS
56,171.44.73.208,61234,HTTPS
57,49.79.196.182,61234,HTTPS
58,222.93.241.29,61234,HTTPS
59,112.245.193.203,61234,HTTPS
60,101.27.21.83,61234,HTTP
61,223.241.119.65,18118,HTTP
62,117.94.68.82,61234,HTTP
63,113.121.46.221,61234,HTTP
64,27.28.232.31,61234,HTTP
65,49.83.247.145,61234,HTTP
66,117.94.123.82,61234,HTTP
67,1.30.188.33,61234,HTTP
68,1.119.193.36,8080,HTTP
69,218.72.109.127,18118,HTTP
70,111.180.138.223,61234,HTTP
71,110.166.254.126,808,HTTP
72,120.26.110.59,8080,HTTP
73,122.114.31.177,808,HTTP
74,61.135.217.7,80,HTTP
75,60.173.242.141,808,HTTP
76,182.202.220.117,61234,HTTP
77,183.159.95.108,18118,HTTP
78,1.30.189.225,61234,HTTP
79,115.46.98.129,8123,HTTP
